ID,Título,Artista,YouTube ID,Vistas
"72b6cf54-7f82-48d4-ae78-6ea65f0a5da1","Original Javi Mc ( Cartagena Sound Music ) A Otro Nivel","Estas Crazy","4jYJygyDAqw",722
"7bd07f8b-dedf-4780-8c36-6d82a36a2ef4","","guillermo","UrrO0uYUUOQ",148
"e8dee2ad-7924-4857-8524-3234aa2add4a","Crazy Macaya´s","guillermo","oyQznyBoVG0",44
"9d5cfa0c-a115-4b48-a374-654bcf4ac099","Crazy Macaya´s","guillermo","eIeey8RSHSc",50
"e47f9360-9470-4770-95b3-1c75abf2caa1","Devoto noviembre 2022","Crazy Macaya´s","379_Qd17tvo",68
"b6c865e5-96d8-41e2-8e16-d2719cc53966","Lolo OG ft Gonzalo Nawel, Fili Wey .","Yo Soy Del Barrio","CM-yHM1UWY0",20104096
"3e9deae8-b9d3-44d1-87c7-ca8a92af4874","Re Fantasma ft. Mala Fama","Re Fantasma (Re Fantasma)","GptT62bnOdk",45230537
"45b7a3ec-e8c6-4bbc-a298-08cbcd92b2ef","MDQ (Video Lyrics)","RYH","SQK4xjpd0DI",30702022
"3a6d1a21-b686-4b22-ab65-64b7812b047f","Olmedo y Porcel, sommeliers.","elbarmangalante","l212rt9kmhg",128221
"a8eef9c2-e7b2-47b9-9aa5-14d22b4359bc","Die Partei","ASD","DyOMOA9AH-U",3838
"1dc1f038-330b-45f6-b101-24693e4e111b","Deadline","ASD","ON8BElHObd8",4581
"e78293cb-3032-4b99-9f66-cb40ee008bdb","y than another #asd #originalmusic #autismlove #trains #mentalhealth","No color is MORE color","Vf_WS0AZats",348972
"44a25139-a28c-438d-a7b9-a76b9bc78b83","Is wie´s is","ASD","QIXR1XsBDLA",146215
"c94d736e-a913-4796-af83-6178eb2fb202","Blockbasta","ASD","xiiR9TaRUag",12861
"84d1b345-6410-41d2-b69c-816106cc980f","Darius returning home from school #autistic #autism #stimming #neurodivergent","Darius Da King of Stimming","BXvnuI1covg",3477475
"ebbeffce-c53a-4bef-a689-38700f27cf16","ASD","ASD","a_C_swWMraI",82866
"34097c33-a876-45e8-b4fc-5b0105cfe910","public transit & autism don’t mix #autism","Keara Graves","8Zsl3I9CoG8",23441
"7fb68ce6-6d69-48a2-bbab-6883b138ba23","ASD Track (Train Session)","Samy Deluxe & Afrob","3zcrLYxyvvM",79544
"0b0105e1-acf5-432d-a3ab-6868a0b4b38a","Antihaltung","ASD","owXFlBes_Ok",5751
"d02e69f2-dc42-403d-8879-55780ef7befc","Mensch gegen Maschine","ASD","MYyVf2s7pm4",28611
"c3a14eb5-3ec2-4367-a196-87d0e7489d66","Sag Mir Wo Die Party Ist!","Asd","Achvu-Bszws",73850
